Scan results for 127.0.0.1
==============================
Port 20 --> Closed
Port 22 --> Closed
Port 23 --> Closed
Port 21 --> Closed
Port 24 --> Closed
Port 27 --> Closed
Port 26 --> Closed
Port 25 --> Closed
Port 29 --> Closed
Port 30 --> Closed
Port 28 --> Closed
Port 31 --> Closed
Port 34 --> Closed
Port 36 --> Closed
Port 33 --> Closed
Port 32 --> Closed
Port 38 --> Closed
Port 37 --> Closed
Port 39 --> Closed
Port 35 --> Closed
Port 42 --> Closed
Port 40 --> Closed
Port 41 --> Closed
Port 43 --> Closed
Port 46 --> Closed
Port 44 --> Closed
Port 45 --> Closed
Port 47 --> Closed
Port 49 --> Closed
Port 55 --> Closed
Port 52 --> Closed
Port 50 --> Closed
Port 51 --> Closed
Port 53 --> Closed
Port 48 --> Closed
Port 56 --> Closed
Port 58 --> Closed
Port 57 --> Closed
Port 54 --> Closed
Port 60 --> Closed
Port 59 --> Closed
Port 62 --> Closed
Port 63 --> Closed
Port 61 --> Closed
Port 66 --> Closed
Port 65 --> Closed
Port 67 --> Closed
Port 68 --> Closed
Port 64 --> Closed
Port 70 --> Closed
Port 69 --> Closed
Port 73 --> Closed
Port 72 --> Closed
Port 71 --> Closed
Port 74 --> Closed
Port 76 --> Closed
Port 75 --> Closed
Port 79 --> Closed
Port 77 --> Closed
Port 82 --> Closed
Port 78 --> Closed
Port 86 --> Closed
Port 83 --> Closed
Port 80 --> Closed
Port 84 --> Closed
Port 81 --> Closed
Port 89 --> Closed
Port 88 --> Closed
Port 85 --> Closed
Port 90 --> Closed
Port 87 --> Closed
Port 91 --> Closed
Port 93 --> Closed
Port 94 --> Closed
Port 92 --> Closed
Port 96 --> Closed
Port 98 --> Closed
Port 95 --> Closed
Port 99 --> Closed
Port 97 --> Closed
Port 104 --> Closed
Port 100 --> Closed
Port 103 --> Closed
Port 101 --> Closed
Port 105 --> Closed
Port 106 --> Closed
Port 109 --> Closed
Port 107 --> Closed
Port 108 --> Closed
Port 102 --> Closed
Port 111 --> Closed
Port 112 --> Closed
Port 115 --> Closed
Port 118 --> Closed
Port 119 --> Closed
Port 113 --> Closed
Port 120 --> Closed
Port 117 --> Closed
Port 123 --> Closed
Port 116 --> Closed
Port 114 --> Closed
Port 127 --> Closed
Port 122 --> Closed
Port 110 --> Closed
Port 126 --> Closed
Port 129 --> Closed
Port 121 --> Closed
Port 132 --> Closed
Port 124 --> Closed
Port 134 --> Closed
Port 133 --> Closed
Port 138 --> Closed
Port 130 --> Closed
Port 131 --> Closed
Port 125 --> Closed
Port 139 --> Closed
Port 149 --> Closed
Port 150 --> Closed
Port 144 --> Closed
Port 142 --> Closed
Port 146 --> Closed
Port 136 --> Closed
Port 141 --> Closed
Port 156 --> Closed
Port 145 --> Closed
Port 135 --> Closed
Port 155 --> Closed
Port 153 --> Closed
Port 158 --> Closed
Port 128 --> Closed
Port 161 --> Closed
Port 159 --> Closed
Port 154 --> Closed
Port 137 --> Closed
Port 164 --> Closed
Port 160 --> Closed
Port 163 --> Closed
Port 140 --> Closed
Port 166 --> Closed
Port 165 --> Closed
Port 143 --> Closed
Port 152 --> Closed
Port 148 --> Closed
Port 147 --> Closed
Port 180 --> Closed
Port 171 --> Closed
Port 175 --> Closed
Port 170 --> Closed
Port 173 --> Closed
Port 177 --> Closed
Port 168 --> Closed
Port 157 --> Closed
Port 178 --> Closed
Port 162 --> Closed
Port 167 --> Closed
Port 176 --> Closed
Port 182 --> Closed
Port 151 --> Closed
Port 172 --> Closed
Port 184 --> Closed
Port 181 --> Closed
Port 169 --> Closed
Port 183 --> Closed
Port 179 --> Closed
Port 185 --> Closed
Port 186 --> Closed
Port 189 --> Closed
Port 197 --> Closed
Port 193 --> Closed
Port 188 --> Closed
Port 194 --> Closed
Port 196 --> Closed
Port 192 --> Closed
Port 195 --> Closed
Port 174 --> Closed
Port 190 --> Closed
Port 202 --> Closed
Port 187 --> Closed
Port 191 --> Closed
Port 201 --> Closed
Port 198 --> Closed
Port 200 --> Closed
Port 199 --> Closed
Port 204 --> Closed
Port 206 --> Closed
Port 203 --> Closed
Port 207 --> Closed
Port 205 --> Closed
Port 210 --> Closed
Port 211 --> Closed
Port 212 --> Closed
Port 217 --> Closed
Port 213 --> Closed
Port 209 --> Closed
Port 208 --> Closed
Port 218 --> Closed
Port 214 --> Closed
Port 215 --> Closed
Port 221 --> Closed
Port 223 --> Closed
Port 224 --> Closed
Port 228 --> Closed
Port 225 --> Closed
Port 226 --> Closed
Port 240 --> Closed
Port 234 --> Closed
Port 241 --> Closed
Port 222 --> Closed
Port 229 --> Closed
Port 236 --> Closed
Port 238 --> Closed
Port 232 --> Closed
Port 227 --> Closed
Port 216 --> Closed
